,Stateid,vaccinationratio,populationratio,ratioofratio
1,Dadra and Nagar Haveli and Daman and Diu,0.4972214975215236,0.7059649306372998,0.7043147271815102
0,Nagaland,0.7523847773701235,0.9309070715923209,0.8082275882630968
2,Jammu and Kashmir,0.7455523824517059,0.8919171561092959,0.8358986900800746
8,Uttar Pradesh,0.7796676021214659,0.9115075743553909,0.8553605302433599
11,Delhi,0.7441001803131232,0.8679572767250237,0.8573004688903144
10,Jharkhand,0.819472324511062,0.948416828784975,0.8640423700208852
3,Arunachal Pradesh,0.8144931167013938,0.9382318829211443,0.8681149420818068
5,Manipur,0.8669173936818035,0.9851395745544583,0.879994486135508
23,Goa,0.8596636196403641,0.9733000514110994,0.8832462490821981
18,Gujarat,0.8171046569371259,0.9170865575625509,0.8909787742487921
15,Punjab,0.8069284282077284,0.893724668879623,0.9028825725704732
13,Maharashtra,0.8468192976986437,0.9356780332960218,0.9050327864550115
24,Telangana,0.8969991538324118,0.987902335269874,0.9079836354343374
7,Madhya Pradesh,0.8461635961395804,0.9298035262389267,0.91004558733212
16,Odisha,0.8965430158330925,0.9800757991384251,0.9147690582924652
19,Meghalaya,0.9099303654500563,0.9887554362689632,0.920278495644635
12,Haryana,0.8075723237232737,0.8773601447030279,0.9204570421837702
27,Chandigarh,0.7546896226228866,0.8176636017793454,0.9229830225786999
21,West Bengal,0.8811642105321464,0.9498676601703566,0.9276705034616208
14,Assam,0.8957232319358874,0.9577582478885868,0.9352289410303093
6,Bihar,0.8785039271517969,0.9179890167613238,0.9569874051992139
4,Tamil Nadu,0.9590197696144194,0.9964325615920648,0.9624532623483634
25,Rajasthan,0.912530807072709,0.9305830077873408,0.9806011924099551
22,Uttarakhand,0.9429775115416613,0.9536749960090992,0.9887828825205607
29,Tripura,0.9507338376957786,0.9600747128644412,0.9902706788924858
9,Chhattisgarh,0.979357083110023,0.9811966496869823,0.9981251805358833
20,Kerala,1.0862531101289639,1.0843078720382304,1.0017939905638396
28,Mizoram,0.982429347251339,0.975740943819901,1.0068546917845365
30,Puducherry,1.055091250685835,1.037434425249056,1.0170197026501604
31,Ladakh,0.8503067685947702,0.8101433438323584,1.0495757017176983
17,Himachal Pradesh,0.9930475950126463,0.9457141251470438,1.0500505053345195
26,Karnataka,1.04674726525905,0.9887277867409043,1.0586809426175756
32,Andhra Pradesh,1.1947561001214464,0.9971199944383964,1.1982069427806066
